"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)"
"3230000","CDFH3301262017000001","2017-03-31","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 송파구 올림픽로 300 (신천동)","05551","시그니엘서울 피트니스클럽","2023-02-14 17:43:25","U","2022-12-01 23:06:00.0","","",""
"3000000","CDFH3301262007000002","20070705","","03","폐업","03","폐업","20080317","","","","733-8111","","110080","서울특별시 종로구 무악동 82번지 무악현대프라자 ","","","(주)나비스포렉스","2009-01-08 10:33:23","I","2018-08-31 23:59:59.0","","196467.975088253    ","452566.134030104    "
"3220000","CDFH3301262022000001","20220421","","01","영업/정상","13","영업중","","","","","02-1544-4656","","","서울특별시 강남구 개포동 1273 포이초등학교","서울특별시 강남구 개포로22길 87, 포이초등학교 (개포동)","06311","포이스포츠센터","2022-04-21 09:12:41","I","2021-12-03 22:03:00.0","","204558.513478279","441491.962568552"
"3050000","CDFH3301262014000001","20141125","","01","영업/정상","13","영업중","","","","","2217-3300","","130804","서울특별시 동대문구 답십리동 463-1","서울특별시 동대문구 천호대로47길 34 (답십리동)","02592","(주)코리아비젼스윔(지점)","2022-11-24 19:15:15","U","2021-10-31 22:06:00.0","","203831.531062343","452388.114511866"
"3080000","CDFH3301262021000001","20210826","","01","영업/정상","13","영업중","","","","","02-3408-5000","","","서울특별시 강북구 우이동 346 파라스파라 서울","서울특별시 강북구 삼양로 689, 파라스파라 서울 (우이동)","01000","(주)정상북한산리조트 파라스파라 서울","2022-12-12 14:23:13","U","2021-11-01 23:04:00.0","","200704.539774217","462416.392839185"
"3220000","CDFH3301262001000001","2001-01-29","","01","영업/정상","13","영업중","","","","","02-3412-2171","","135-938","서울특별시 강남구 일원동 4-1","서울특별시 강남구 남부순환로 3318 (일원동)","06340","강남주민편익시설(48)","2023-04-03 14:37:51","U","2022-12-04 00:05:00.0","","",""
"3220000","CDFH3301262016000001","20161006","","01","영업/정상","13","영업중","","","","","02-543-5991","","","서울특별시 강남구 청담동 27","서울특별시 강남구 삼성로135길 42 (청담동, 언북초등학교)","06066","언북문화체육센터","2022-04-11 14:21:12","U","2021-12-03 23:03:00.0","","203963.799944512","446416.151961396"
"3220000","CDFH3301262015000002","20150909","","01","영업/정상","13","영업중","","","","","0317807673","","","서울특별시 강남구 청담동 4-1 4~6층","서울특별시 강남구 도산대로 442, 4~6층 (청담동, 피엔폴루스)","06062","코오롱글로벌(주)스포렉스(53)","2022-04-19 12:41:09","U","2021-12-03 22:01:00.0","","203789.588128352","446796.128299612"
"3150000","CDFH3301262002000001","2002-01-10","","01","영업/정상","13","영업중","","","","","2660-9300","","157-290","서울특별시 강서구 외발산동 426 외 1필지(368-2)","서울특별시 강서구 방화대로 94 (외발산동, 외 1필지(368-2))","07506","메이필드호텔 휘트니스클럽","2023-04-20 09:27:50","U","2022-12-03 22:02:00.0","","183863.692502412","449443.610735042"
"3210000","CDFH3301262013000002","20131030","","01","영업/정상","13","영업중","","","","","535-2601~2","","137837","서울특별시 서초구 방배동 852-14 방배열린문화센터 지하1, 지상5.6.7층","서울특별시 서초구 방배로 173 (방배동, 방배열린문화센터지하1,지상5,6,7층)","06572","코오롱글로벌(주)스포렉스 방배점","2022-04-19 17:35:08","U","2021-12-03 22:01:00.0","","199250.378045845","442973.400332687"
"3220000","CDFH3301261999000001","19991015","","01","영업/정상","13","영업중","","","","","02-559-7529","","","","서울특별시 강남구 봉은사로 524 (삼성동, 코엑스인터콘티넨탈서울)","06164","코스모폴리탄휘트니스클럽","2022-04-08 16:47:52","U","2021-12-03 23:02:00.0","","205130.591678902","445590.096837802"
"3040000","CDFH3301262004000001","2004-10-04","","01","영업/정상","13","영업중","","","","","02-450-4424","","143-708","서울특별시 광진구 광장동 산 21","서울특별시 광진구 워커힐로 177 (광장동)","04963","루(ROO)","2023-05-08 14:53:29","U","2022-12-04 23:00:00.0","","",""
"3040000","CDFH3301261998000001","1998-01-17","","01","영업/정상","13","영업중","","","","","02-450-4425","","143-708","서울특별시 광진구 광장동 산 21","서울특별시 광진구 워커힐로 177 (광장동)","04963","SK네트웍스(주) 워커힐","2023-05-08 14:54:09","U","2022-12-04 23:00:00.0","","",""
"3060000","CDFH3301262000000001","2000-03-21","","01","영업/정상","13","영업중","","","","","496-0070","","131-878","서울특별시 중랑구 중화동 207-0 외 4필지","서울특별시 중랑구 망우로 247 (중화동)","02117","로얄스포츠센타","2023-05-12 13:50:20","U","2022-12-04 23:04:00.0","","206997.270586637","454794.043242834"
"3220000","CDFH3301262019000003","2019-09-08","","01","영업/정상","13","영업중","","","","","543-9633","","","서울특별시 강남구 논현동 168 논현초등학교","서울특별시 강남구 강남대로120길 33, 논현초등학교 (논현동)","06119","더논현 스포츠센터","2023-05-16 13:46:33","U","2022-12-04 23:08:00.0","","202257.099030843","445111.142737302"
"3140000","CDFH3301262023000001","2023-06-15","","01","영업/정상","13","영업중","","","","","","","","서울특별시 양천구 목동 916 현대하이페리온","서울특별시 양천구 목동동로 257, 8층 (목동, 현대하이페리온)","07998","리조트휘트니스목동점","2023-06-15 09:27:42","I","2022-12-05 23:07:00.0","","188884.075622342","447186.888604306"
"3210000","CDFH3301261991000003","19910704","","01","영업/정상","13","영업중","","","","","580-8234","","137857","서울특별시 서초구 서초동 1324-2","서울특별시 서초구 서초대로70길 32 (서초동)","06623","코오롱글로벌(주)스포렉스 서초점(본관)","2022-04-19 17:28:57","U","2021-12-03 22:01:00.0","","201996.383632718","443517.33412224"
"3210000","CDFH3301261991000004","19910704","","01","영업/정상","13","영업중","","","","","580-8234","","137857","서울특별시 서초구 서초동 1324-14","서울특별시 서초구 서초대로70길 32 (서초동)","06623","코오롱글로벌(주)스포렉스 서초점(신관)","2022-04-19 17:31:41","U","2021-12-03 22:01:00.0","","201993.714242549","443438.041140726"
"3010000","CDFH3301262018000001","20180611","","01","영업/정상","13","영업중","","","","","02-3425-8000","","","서울특별시 중구 을지로6가 58-5 ","서울특별시 중구 을지로 238, 노보텔앰배서더 20층 (을지로6가)","04561","인발란스","2021-04-14 16:21:47","U","2021-04-16 02:40:00.0","","200314.646974736    ","451554.066925226    "
"3010000","CDFH3301261989000002","1989-12-30","","01","영업/정상","13","영업중","","","","","","","100-070","서울특별시 중구 소공동 1","","","호텔롯데헬스센타","2023-02-17 14:55:12","U","2022-12-01 23:09:00.0","","198259.65357739","451392.198218657"
"3220000","CDFH3301261989000003","19891226","","01","영업/정상","13","영업중","","","","","02-559-7529","","135090","서울특별시 강남구 삼성동 159-8","서울특별시 강남구 테헤란로 521 (삼성동)","","메트로폴리탄헬스클럽","2022-04-08 16:46:40","U","2021-12-03 23:02:00.0","","205314.159889285","445204.709309676"
"3010000","CDFH3301261998000002","19980124","","01","영업/정상","13","영업중","","","","","","","100102","서울특별시 중구 태평로2가 23 ","서울특별시 중구 소공로 109 (태평로2가)","100102","플라자 휘트니스클럽","2021-12-03 17:48:11","U","2021-12-05 02:40:00.0","","197979.021229862    ","451376.783371586    "
"3140000","CDFH3301262000000002","2000-10-28","","01","영업/정상","13","영업중","","","","","02-2062-2187","","158-050","서울특별시 양천구 목동 908-28","서울특별시 양천구 목동동로 401 (목동)","07984","애시앙 스포츠센터(목동)","2023-02-27 10:04:59","U","2022-12-03 00:01:00.0","","189423.528553032","448240.505845376"
"3000000","CDFH3301262007000003","20070806","","03","폐업","03","폐업","20211005","","","","02-738-5005","","","서울특별시 종로구 종로1가 24 르메이에르종로타운1 ","서울특별시 종로구 종로 19, 르메이에르종로타운1 (종로1가)","03157","르메이에르스포츠 종로센터","2021-10-05 14:54:18","U","2021-10-07 02:40:00.0","","198150.300374121    ","452019.212642931    "
"3220000","CDFH3301262002000001","20020219","","03","폐업","03","폐업","20220426","","","","02-3413-7400","","135939","서울특별시 강남구 개포동 13-3","서울특별시 강남구 개포로 623  (개포동)","","(주)대청레포츠센터","2022-04-26 17:35:10","U","2021-12-03 22:08:00.0","","206970.919291372","443574.411625824"
"3120000","CDFH3301262002000001","20020408","","03","폐업","03","폐업","20220427","","","","02-3216-5656","","120845","서울특별시 서대문구 홍은동 201-1","서울특별시 서대문구 연희로 353 (홍은동)","","스위스그랜드호텔","2022-04-27 14:55:42","U","2021-12-03 22:09:00.0","","194211.997213753","454098.970268002"
"3210000","CDFH3301262000000001","2000-06-23","","01","영업/정상","13","영업중","","","","","3470-0603","","137-880","서울특별시 서초구 서초동 1645-0","서울특별시 서초구 서초대로64길 76-21 (서초동)","","삼성라이온즈레포츠센터","2023-02-13 16:01:37","U","2022-12-01 23:05:00.0","","201836.199766856","443284.171448529"
"3000000","CDFH3301262002000003","20020527","","03","폐업","03","폐업","20051101","","","","","","110846","서울특별시 종로구 평창동 108-2번지 ","","","(주)올림피아스위트","2005-11-02 10:29:18","I","2018-08-31 23:59:59.0","","197949.002174181    ","456478.436790904    "
"3000000","CDFH3301262014000001","2014-01-27","","01","영업/정상","13","영업중","","","","","02-778-0501","","110-784","서울특별시 종로구 종로6가 289-3","서울특별시 종로구 청계천로 279 (종로6가)","03198","클럽501","2023-05-15 16:22:02","U","2022-12-04 23:07:00.0","","200717.7490316","452011.865092338"
"3000000","CDFH3301262002000001","20020109","","03","폐업","03","폐업","20200630","","","","02-746-7788","","110280","서울특별시 종로구 원서동 206-4 ","서울특별시 종로구 창덕궁길 19 (원서동)","03058","현대엔지니어링 주식회사","2020-07-01 14:22:35","U","2020-07-03 02:40:00.0","","198924.989607812    ","452899.526098556    "
"3000000","CDFH3301262002000002","20020109","","01","영업/정상","13","영업중","","","","","02-747-9000","","","서울특별시 종로구 연지동 136-74번지 서울보증보험 ","서울특별시 종로구 김상옥로 29 (연지동)","03128","서울스포츠클럽","2020-01-23 15:42:37","U","2020-01-25 02:40:00.0","","199998.556147267    ","452379.49778015     "
"3000000","CDFH3301261989000001","19891230","","01","영업/정상","13","영업중","","","","","02-735-4612","","","서울특별시 종로구 종로2가 9번지 YMCA ","서울특별시 종로구 종로 69 (종로2가)","03164","서울기독교청년회","2018-01-08 16:56:14","I","2018-08-31 23:59:59.0","","198630.79627088     ","452035.412646906    "
"3000000","CDFH3301262020000001","20200319","","01","영업/정상","13","영업중","","","","","02-1661-0835","","","서울특별시 종로구 청운동 123번지 청운초등학교 ","서울특별시 종로구 자하문로 105, 청운초등학교 (청운동)","03032","청운스포렉스","2020-03-19 17:32:54","I","2020-03-21 00:23:22.0","","197224.271406687    ","453711.382151747    "
"3220000","CDFH3301262021000003","20211108","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 211-21 ","서울특별시 강남구 언주로 641, 지하2층 (논현동)","06105","펜트힐스포츠","2021-11-08 12:21:59","I","2021-11-10 00:22:45.0","","203021.90910205     ","445735.022021415    "
"3220000","CDFH3301261995000001","19951219","","01","영업/정상","13","영업중","","","","","02-3440-8000","","135832","서울특별시 강남구 논현동 248-7번지 ","서울특별시 강남구 언주로 640 (논현동)","","(주)태승21임피리얼팰리스호텔","2018-04-13 14:05:16","I","2018-08-31 23:59:59.0","","203102.074986325    ","445751.652027981    "
"3230000","CDFH3301262006000001","20060320","","04","취소/말소/만료/정지/중지","35","직권말소","20151106","","","","2143-0700","","138727","서울특별시 송파구 신천동 7-18번지 롯데캐슬골드 프라자9층 ","서울특별시 송파구 올림픽로 269, 9층 (신천동, 롯데캐슬골드)","05510","스포캐슬 골드 휘트니스","2015-11-06 17:18:24","I","2018-08-31 23:59:59.0","","208836.192051204    ","445807.727388799    "
"3000000","CDFH3301262020000002","20201005","","01","영업/정상","13","영업중","","","","","02-582-0045","","","서울특별시 종로구 신문로2가 171 ","서울특별시 종로구 새문안로2길 10, 지하2층 (신문로2가)","03184","디팰리스스포츠클럽","2020-10-14 10:39:44","U","2020-10-16 02:40:00.0","","197456.811124456    ","451809.570431229    "
"3000000","CDFH3301262007000001","20070312","20150817","04","취소/말소/만료/정지/중지","32","신고취소","","","","","02-732-9393","","110054","서울특별시 종로구 사직동 284-1번지 ","서울특별시 종로구 인왕산로1길 21 (사직동)","","종로문화체육센터","2015-08-18 10:41:54","I","2018-08-31 23:59:59.0","","196809.4580779      ","452443.309152474    "
"3000000","CDFH3301261998000001","19980226","20150817","04","취소/말소/만료/정지/중지","32","신고취소","","","","","02-745-6702","","110530","서울특별시 종로구 혜화동 1-21번지 ","서울특별시 종로구 성균관로 91 (혜화동)","","올림픽기념 국민생활관","2015-08-18 10:43:07","I","2018-08-31 23:59:59.0","","199828.159948935    ","454227.479528793    "
"3000000","CDFH3301262000000001","20001006","20150817","04","취소/말소/만료/정지/중지","32","신고취소","","","","","02-3673-4071","","110840","서울특별시 종로구 창신동 222-8번지 ","서울특별시 종로구 지봉로5길 7-5 (창신동)","03104","종로구민회관","2015-08-18 10:43:54","I","2018-08-31 23:59:59.0","","201209.944592706    ","452357.959432655    "
"3010000","CDFH3301262013000001","20130219","","03","폐업","03","폐업","20210715","","","","02-2220-8220","","100141","서울특별시 중구 의주로1가 202 ","","","(주)디에스디엘 프레이저 플레이스 호텔","2021-07-15 10:10:21","U","2021-07-17 02:40:00.0","","197249.283866944    ","451147.749970952    "
"3010000","CDFH3301261995000002","19951012","","03","폐업","03","폐업","19991011","","","","","","100879","서울특별시 중구 흥인동 13-1번지 ","","","(주)한국스포랜드","2003-02-11 17:52:00","I","2018-08-31 23:59:59.0","","201442.039019479    ","451619.845549151    "
"3010000","CDFH3301261996000001","19960108","","03","폐업","03","폐업","20060719","","","","","","100282","서울특별시 중구 인현동2가 73-1번지 ","","","오일관광(주)풍전호텔","2006-07-31 11:47:50","I","2018-08-31 23:59:59.0","","199550.506270874    ","451392.219693582    "
"3240000","CDFH3301262002000001","20020822","","03","폐업","03","폐업","20181227","","","","2041-6114","","","서울특별시 강동구 둔촌동 172-2번지 둔촌올림픽스포츠센터 ","서울특별시 강동구 양재대로84길 33-17 (둔촌동)","05411","(주)월드스포피아","2018-12-27 13:57:25","U","2018-12-29 02:40:00.0","","212017.544442379    ","446859.875435823    "
"3010000","CDFH3301262010000001","20100722","","01","영업/정상","13","영업중","","","","","02-2231-9313","","100455","서울특별시 중구 신당동 산 161번지 성동고등학교내 ","","","(주)한국스포터(성동교육문화관)","2012-03-27 13:00:34","I","2018-08-31 23:59:59.0","","",""
"3010000","CDFH3301262017000001","20170623","","01","영업/정상","13","영업중","","","","","02-2231-9363","","","서울특별시 중구 신당동 330-2번지 ","서울특별시 중구 다산로 170 (신당동, 청구초등학교)","04589","청구교육문화관","2019-01-16 17:54:31","U","2019-01-18 02:40:00.0","","201182.623408307    ","450681.887314718    "
"3000000","CDFH3301262015000001","20150731","","01","영업/정상","13","영업중","","","","","02-6388-5390","","","","서울특별시 종로구 새문안로 97 (당주동)","03183","Four Seasons Club Seoul(포시즌스 클럽 서울)","2022-09-13 16:49:05","U","2021-12-08 23:05:00.0","","197764","452030"
"3010000","CDFH3301261989000001","19891230","","01","영업/정상","13","영업중","","","","","","","100856","서울특별시 중구 장충동2가 202-0번지 ","","","호텔신라","2013-07-16 11:16:26","I","2018-08-31 23:59:59.0","","200463.625303538    ","450497.460903907    "
"3010000","CDFH3301261990000001","19900725","","01","영업/정상","13","영업중","","","","","","","100857","서울특별시 중구 장충동2가 산 5-5번지 ","","","(주)타워호텔","2003-02-11 17:52:00","I","2018-08-31 23:59:59.0","","200193.232424569    ","449809.744684888    "
"3010000","CDFH3301261995000001","19950114","","01","영업/정상","13","영업중","","","","","","","100070","서울특별시 중구 소공동 87-1 ","","","(주)조선호텔앤리조트 CAC클럽","2021-07-19 16:34:31","U","2021-07-21 02:40:00.0","","198172.151119488    ","451350.969223428    "
"3010000","CDFH3301261998000001","19980124","","01","영업/정상","13","영업중","","","","","","","100855","서울특별시 중구 장충동2가 186-54 ","","","웰니스 센터","2021-12-02 13:21:35","U","2021-12-04 02:40:00.0","","200141.998469463    ","450878.102981055    "
"3020000","CDFH3301261991000001","19910924","","03","폐업","03","폐업","20140519","","","","","","140709","서울특별시 용산구 동자동 12번지 ","서울특별시 용산구 후암로 107  (동자동)","","(주)스포파크 서울역센터","2014-05-19 17:45:09","I","2018-08-31 23:59:59.0","","197593.304078325    ","450126.951675139    "
"3020000","CDFH3301262000000001","20000825","","03","폐업","03","폐업","20100428","","","","","","140884","서울특별시 용산구 한남동 264-2번지 외7필지 ","","","록정개발(주)아마랜스 휘트니스클럽","2013-05-09 15:23:45","I","2018-08-31 23:59:59.0","","",""
"3020000","CDFH3301262003000001","20031224","","03","폐업","03","폐업","20171031","","","","798-5433","","","서울특별시 용산구 한남동 805번지 ","서울특별시 용산구 서빙고로 413 (한남동, 한남동 하이페리온)","04416","라이프스포츠클럽","2017-10-31 17:55:10","I","2018-08-31 23:59:59.0","","200357.541925483    ","447271.660261703    "
"3020000","CDFH3301261990000003","19901221","","03","폐업","03","폐업","20210112","","","","","","140856","서울특별시 용산구 이태원동 260-199 ","서울특별시 용산구 소월로 272 (이태원동, 남송빌딩)","04342","남산체육관","2021-01-12 17:25:38","U","2021-01-14 02:40:00.0","","199214.10239741     ","448891.794439538    "
"3020000","CDFH3301262017000001","20170927","","01","영업/정상","13","영업중","","","","","02-2223-7000","","","서울특별시 용산구 한강로3가 40-969 ","서울특별시 용산구 청파로20길 95, A,C동 4,6,7층 (한강로3가, 서울드래곤시티)","04372","서울드래곤시티피트니스클럽","2021-06-02 09:24:50","U","2021-06-04 02:40:00.0","","196610.663839509    ","447742.348636253    "
"3020000","CDFH3301262018000001","20180403","","01","영업/정상","13","영업중","","","","","02-6261-1200","","","서울특별시 용산구 한남동 805번지 한남동 하이페리온 101동 101호","서울특별시 용산구 서빙고로 413, 101동 B1층 101-103호 (한남동, 한남동 하이페리온)","04416","웰페리온 스파앤피트니스","2018-04-03 14:10:28","I","2018-08-31 23:59:59.0","","200357.541925483    ","447271.660261703    "
"3020000","CDFH3301261990000001","19901113","","01","영업/정상","13","영업중","","","","","","","","서울특별시 용산구 이태원동 22-76 몬드리안 서울 이태원 ","서울특별시 용산구 장문로 23, 몬드리안 서울 이태원 (이태원동)","04392","몬드리안 서울 이태원 휘트니스센터","2021-04-02 09:33:52","U","2021-04-04 02:40:00.0","","199337.628628981    ","447413.487156381    "
"3030000","CDFH3301262007000001","20070621","","03","폐업","03","폐업","20100601","","","","02-2247-3300","","133851","서울특별시 성동구 용답동 223-5번지 BF1, 5층 ","","","한국체육지도자총연합회연수원","2010-06-01 16:18:46","I","2018-08-31 23:59:59.0","","204934.319835624    ","451032.958798449    "
"3040000","CDFH3301261992000001","19920326","","03","폐업","03","폐업","20040607","","","","02-454-3691","","143802","서울특별시 광진구 광장동 114번지 ","서울특별시 광진구 아차산로78길 44  (광장동)","","(주)현대프로세스","2004-12-02 17:00:17","I","2018-08-31 23:59:59.0","","209637.078215509    ","449832.485937903    "
"3040000","CDFH3301261992000002","19921014","","03","폐업","03","폐업","20110131","","","","2204-6094~5","","143847","서울특별시 광진구 능동 18-11번지 ","","","어린이회관아이스링크","2013-03-28 10:47:55","I","2018-08-31 23:59:59.0","","206808.576422948    ","449396.05799662     "
"3040000","CDFH3301261995000001","19950418","","03","폐업","03","폐업","20031101","","","","456-5141","","143815","서울특별시 광진구 광장동 573-1번지 ","","","구의현대스포츠센타","2003-12-26 15:42:11","I","2018-08-31 23:59:59.0","","208505.215590144    ","448701.864851016    "
"3040000","CDFH3301261999000001","19991124","","03","폐업","03","폐업","20110131","","","","02-450-9334","","143847","서울특별시 광진구 능동 18-0번지 ","","","어린이대공원아이스링크","2013-03-28 10:50:56","I","2018-08-31 23:59:59.0","","207138.865762508    ","449705.690586932    "
"3010000","CDFH3301261993000001","19930219","","03","폐업","03","폐업","20221230","","","","","","100095","서울특별시 중구 남대문로5가 395","서울특별시 중구 소월로 50 (남대문로5가)","100095","(주)씨디엘호텔코리아","2023-01-03 14:34:14","U","2022-12-01 00:05:00.0","","197762.501510022","450337.580626313"
"3020000","CDFH3301261990000002","1990-11-13","","01","영업/정상","13","영업중","","","","","02-799-8510","","","서울특별시 용산구 한남동 747-7","서울특별시 용산구 소월로 322 (한남동, 하얏트호텔)","04347","서울미라마 유한회사 그랜드 하얏트 서울","2023-07-03 18:24:11","U","2022-12-07 00:05:00.0","","199737.097413554","448587.753314794"
"3050000","CDFH3301262015000001","20150707","","01","영업/정상","13","영업중","","","","","02-2213-2748","","130853","서울특별시 동대문구 전농동 188번지 ","서울특별시 동대문구 전농로 172 (전농동)","02505","(주)리스타트온 전곡스포츠센터","2019-08-29 09:17:07","U","2019-08-31 02:40:00.0","","204921.328296424    ","453133.448301686    "
"3050000","CDFH3301261999000001","19991207","","04","취소/말소/만료/정지/중지","35","직권말소","","","","","2246-1281","","130841","서울특별시 동대문구 장안동 356-0번지 구민체육센터 ","","","(재)기독교 청년회 유지재단","2020-04-27 17:33:39","U","2020-04-29 02:40:00.0","","206464.060139046    ","451657.395402106    "
"3060000","CDFH3301262019000001","20190607","","04","취소/말소/만료/정지/중지","35","직권말소","20201014","","","","02-6218-8000","","","서울특별시 중랑구 망우동 440 면일초등학교 ","서울특별시 중랑구 용마산로100길 13, 면일체육문화센터 (망우동)","02184","면일체육문화센터","2020-11-19 11:23:54","U","2020-11-21 02:40:00.0","","208707.010977979    ","454412.162207365    "
